id,code,label,description,treatment,day,created_at,updated_at,deleted_at
98d2ccb4-985f-4465-b843-8bc84fbdacb6,P1,Tikus,"Hama tikus pada jamur tiram dapat menyebabkan kerusakan yang signifikan. Tikus cenderung mengunyah dan merusak substrat jamur, seperti serbuk kayu atau bahan organik lainnya, yang digunakan untuk menumbuhkan jamur tiram. Mereka juga dapat memakan tunas jamur yang sedang tumbuh, mengganggu pertumbuhan dan mengurangi hasil panen. Selain itu, tikus juga dapat mengkontaminasi area budidaya dengan kotoran dan urin mereka, meningkatkan risiko infeksi bakteri atau jamur patogenik pada jamur tiram. Oleh karena itu, pengendalian hama tikus sangat penting untuk menjaga kesehatan dan produktivitas budidaya jamur tiram.","[""Cek kondisi lingkungan tempat jamur tiram ditanam, pastikan tidak ada celah atau lubang yang dapat menjadi akses masuk tikus."", ""Bersihkan area sekitar dari sisa-sisa makanan atau bahan organik lain yang dapat menarik perhatian tikus."", ""Pasang jaring penghalau atau perangkap tikus di area yang dicurigai sebagai jalur masuk tikus.""]",3,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-9f66-4fe2-a44e-cddad18cbcf2,P2,Lalat,"Hama lalat pada jamur tiram dapat menyebabkan masalah dan gangguan. Lalat sering tertarik pada substrat jamur yang basah dan bahan organik yang terdekomposisi di sekitarnya. Kehadiran lalat dapat mengganggu lingkungan budidaya jamur dan berpotensi mengkontaminasi jamur dengan mikroorganisme patogenik yang mereka bawa. Selain itu, lalat juga dapat merusak tunas jamur yang sedang tumbuh dan menyebabkan kerugian pada hasil panen.","[""Cek kondisi lingkungan tempat jamur tiram ditanam, pastikan tidak ada sisa-sisa makanan atau bahan organik lain yang dapat menarik perhatian lalat."", ""Bersihkan sisa-sisa pupuk kompos yang terbuat dari bahan organik seperti sisa makanan dan daun-daun kering, pupuk kandang yang terbuat dari kotoran hewan, limbah dari dapur seperti kulit buah, sayuran, dan bahan-bahan dapur lainnya."", ""Pasang jaring penghalau di pintu atau jendela sebagai penghalang masuknya lalat ke dalam ruangan."", ""Cek kelembapan lingkungan, pastikan kondisinya tepat. Kelembaban optimal untuk jamur tiram adalah sekitar 80-85%. Alat pengukur kelembaban seperti higrometer dapat digunakan untuk mengukur kelembaban lingkungan dan memastikan bahwa kelembaban tetap berada pada tingkat yang tepat."", ""Suhu ruangan atau lingkungan tempat tumbuhnya jamur tiram juga harus dijaga. Suhu yang ideal untuk jamur tiram adalah sekitar 22-26°C.""]",3,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-a04c-4b90-8e23-ac90fcfe312d,P3,Tungau (Gurem),"Hama tungau pada jamur tiram dapat menyebabkan masalah dan kerusakan pada tanaman. Tungau, terutama tungau merah atau tungau laba-laba, dapat menginfestasi substrat jamur dan menghisap cairan dari jaringan jamur yang sedang tumbuh. Ini dapat mengakibatkan kerusakan pada tunas, daun, dan stroma jamur, yang dapat menghambat pertumbuhan dan produktivitas jamur tiram. Tungau juga dapat menghasilkan benang halus yang dapat mencemari substrat dan menyebabkan kontaminasi.","[""Lakukan pengamatan untuk memastikan jenis tungau yang menyerang jamur tiram dan tingkat infestasinya. Hal ini penting untuk memilih insektisida yang tepat untuk digunakan."", ""Selama fase pertumbuhan awal jamur tiram, pastikan kelembaban udara di dalam ruangan optimal, yaitu berkisar antara 80-85%."", ""Bersihkan jamur tiram secara teratur untuk menghilangkan serasah dan limbah organik lainnya yang dapat menjadi tempat berkembang biak tungau."", ""Jika infestasi tungau masih dalam tingkat rendah, dapat dicoba menggunakan metode pengendalian alami seperti pemakaian predator alami, seperti thrips, atau penyemprotan dengan campuran air dan minyak tanah.""]",3,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-a12b-4ce4-892a-786e0cd4031c,P4,Laba-laba,"Hama laba-laba pada jamur tiram dapat menyebabkan masalah dan kerugian dalam budidaya. Laba-laba sering menginfestasi substrat jamur dan membuat jaring laba-laba yang menutupi tunas dan stroma jamur. Aktivitas laba-laba ini dapat menghambat pertumbuhan jamur tiram dan merusak struktur tubuh jamur. Selain itu, jaring laba-laba yang terbentuk juga dapat mencemari substrat dan mengganggu kualitas jamur. Kehadiran hama laba-laba dapat mengurangi hasil panen dan menyebabkan penurunan kualitas produk.","[""Bersihkan area budidaya jamur secara teratur dan pastikan kebersihannya terjaga dengan baik. Kotoran atau sisa-sisa organik dapat menjadi tempat persembunyian bagi hama dan memicu serangan lebih lanjut."", ""Jika serangan sudah terjadi, segera lakukan penyemprotan pestisida yang mengandung abamectin, cypermethrin, atau chlorpyrifos dengan dosis yang sesuai dengan petunjuk pada kemasan."", ""Setelah melakukan penyemprotan pestisida, jangan panen jamur selama 7-10 hari. Pastikan juga untuk membuang jamur yang terinfeksi dengan laba-laba untuk mencegah penyebaran serangan."", ""Setelah 7-10 hari, cek kembali jamur untuk memastikan serangan laba-laba sudah tidak terlihat. Jika terdapat laba-laba atau tanda-tanda infeksi lainnya, ulangi langkah-langkah di atas.""]",7,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-a208-4a49-bd25-d1b6270e4fef,P5,Siput,"Hama siput pada jamur tiram dapat menyebabkan kerusakan dan gangguan dalam budidaya. Siput cenderung makan dan merusak tunas, stroma, dan bahkan tubuh jamur tiram yang sedang tumbuh. Mereka dapat mengkonsumsi bagian-bagian jamur yang berharga, mengurangi hasil panen dan mengganggu pertumbuhan yang sehat. Selain itu, kehadiran siput juga dapat menyebabkan kontaminasi pada substrat dan meningkatkan risiko infeksi oleh mikroorganisme patogenik.","[""Bersihkan area sekitar jamur dari tanaman liar dan gulma yang dapat menjadi tempat persembunyian hama siput."", ""Kurangi kelembaban lingkungan dengan membatasi penggunaan air."", ""Jaga agar pH media tumbuh jamur tiram tetap stabil dengan cara mengukur pH media dan menambahkan bahan pengatur pH seperti kapur atau gipsum jika diperlukan."", ""Pasang perangkap siput dengan menggunakan kulit jeruk yang dibuat lubang di tengahnya dan diisi dengan air. Siput akan tertarik ke aroma kulit jeruk dan jatuh ke dalam perangkap.""]",3,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-a343-4aa9-825e-b62ad1eb15d5,P6,Rayap,"Hama rayap pada jamur tiram dapat menyebabkan kerusakan serius. Rayap biasanya mengunyah dan merusak substrat jamur, seperti serbuk kayu atau bahan organik lainnya, yang digunakan untuk menumbuhkan jamur tiram. Mereka dapat membuat terowongan di dalam substrat, mengganggu struktur dan stabilitasnya. Rayap juga dapat memakan tunas dan stroma jamur yang sedang tumbuh, menghambat pertumbuhan dan mengurangi hasil panen. Kehadiran rayap dalam budidaya jamur tiram dapat menyebabkan kerugian finansial yang signifikan.","[""Pisahkan jamur tiram yang terinfeksi rayap, kemudian lakukan pembersihan area yang terkena serangan rayap dengan air dan sikat."", ""Setelah membersihkan area yang terkena serangan rayap, keringkan area tersebut dan pastikan tidak ada sisa air yang tersisa.""]",2,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-a49f-4af5-855a-7767d4d42c03,P7,Busuk Putih (Trichoderma spp.),"Penyakit Trichoderma spp. pada jamur tiram dapat menyebabkan infeksi dan gangguan serius. Trichoderma spp. merupakan jamur patogen yang dapat menginfeksi substrat dan menyebabkan penyakit busuk akar pada jamur tiram. Infeksi ini dapat menghambat pertumbuhan dan perkembangan jamur, menyebabkan layu pada tunas dan stroma, serta mengurangi hasil panen. Selain itu, Trichoderma spp. juga dapat bersaing dengan jamur tiram untuk sumber daya dan nutrisi, mengganggu pertumbuhannya. Pengendalian penyakit Trichoderma spp. pada budidaya jamur tiram sangat penting untuk menjaga kesehatan dan produktivitas tanaman, termasuk dengan penerapan langkah sanitasi yang ketat dan penggunaan teknik budidaya yang baik.","[""Buang semua jamur yang terinfeksi dan buang dengan segera."", ""Periksa area pertumbuhan dan bersihkan kontaminasi yang terlihat."", ""Sterilkan lingkungan tumbuh dengan baik, termasuk semua alat atau peralatan yang digunakan dalam proses budidaya.""]",2,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-a5f2-45e1-8e0e-f14d1187a4bb,P8,Jamur Hitam (Mucor spp.),"Penyakit Mucor spp. pada jamur tiram dapat menyebabkan infeksi dan kerusakan yang serius. Mucor spp. merupakan jenis jamur patogen yang dapat menginfeksi substrat dan tubuh jamur tiram. Infeksi ini biasanya terjadi pada kondisi lingkungan yang lembab dan hangat. Mucor spp. dapat menghasilkan benang putih yang menyebar ke seluruh substrat dan merusak jaringan jamur tiram. Hal ini dapat menyebabkan kegagalan pertumbuhan, deformitas pada tubuh jamur, serta penurunan kualitas dan hasil panen.","[""Buang semua jamur tiram yang terinfeksi untuk mencegah penyebaran ke jamur lainnya."", ""Periksa kondisi lingkungan tempat tumbuh jamur tiram, pastikan suhu antara 22-26°C dengan kelembapan sekitar 80-85% untuk meminimalkan kondisi yang ideal bagi pertumbuhan Mucor.""]",2,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-a742-49b2-8ea2-3da6e0d6bf89,P9,Busuk Hijau (Penicillium spp.),"Penyakit Penicillium spp. pada jamur tiram dapat menyebabkan infeksi dan kerusakan pada tanaman. Penicillium spp. merupakan jamur patogen yang dapat menginfeksi substrat jamur dan menyebabkan penyakit busuk pada tubuh jamur tiram. Infeksi ini sering terjadi pada kondisi lingkungan yang lembab dan lembut. Penicillium spp. dapat menghasilkan koloni berwarna biru atau hijau yang menyebar di sekitar tunas dan stroma jamur tiram. Hal ini dapat mengganggu pertumbuhan normal, merusak struktur tubuh jamur, dan mengurangi kualitas dan hasil panen.","[""Pisahkan jamur tiram yang terinfeksi dengan jamur tiram yang sehat."", ""Buang semua bagian jamur tiram yang terinfeksi dan jangan dicampur dengan sampah organik lainnya."", ""Bersihkan area tempat tumbuh jamur tiram dengan menyapu dan menyemprotkan air bersih."", ""Pastikan area tempat tumbuh jamur tiram tetap bersih dan kering."", ""Berikan pestisida nabati pada jamur tiram yang terinfeksi dan telah di pisah dari jamur tiram yang sehat. Bawang putih 1 siung dan 1 cabai di blender dengan 1 liter air kemudian semprotkan larutan tersebut pada jamur tiram.""]",3,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
98d2ccb4-a88a-42bf-8f9a-f5fb41e4cf41,P10,Busuk Batang (Neurospora spp.),"Neurospora spp. merupakan jamur patogen yang dapat menginfeksi substrat jamur dan menyebabkan penyakit busuk pada jamur tiram. Infeksi ini sering terjadi pada kondisi lingkungan yang lembab dan hangat. Neurospora spp. dapat menghasilkan koloni berwarna coklat atau oranye yang menyebar di sekitar tunas dan stroma jamur tiram. Hal ini dapat menghambat pertumbuhan normal jamur, merusak struktur tubuh jamur, dan mengurangi hasil panen yang diinginkan. Pengendalian penyakit Neurospora spp. pada budidaya jamur tiram melibatkan langkah-langkah sanitasi yang ketat, pengaturan kelembaban yang baik, serta pemantauan dan pengelolaan lingkungan dengan teliti untuk mencegah infeksi dan penyebaran jamur patogenik tersebut.","[""Pisahkan jamur tiram yang terinfeksi dengan yang sehat."", ""Bersihkan area sekitar jamur tiram yang terinfeksi."", ""Jangan memberikan air yang terlalu banyak pada jamur tiram yang terinfeksi karena dapat meningkatkan kelembaban dan memperparah infeksi."", ""Pastikan jamur tiram mendapatkan sinar matahari yang cukup."", ""Perhatikan kelembaban dan sirkulasi udara di sekitar jamur tiram.""]",7,2023-04-01 08:10:49,2023-04-01 08:10:49,NULL
